ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global"
20663,variation,BLACK-XL-CHINA-251946152,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1739,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S27d730e136a64743acd343d3577a4f73U-4.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,XL,,0,Color,black,,0,"Ships From",CHINA,,0
20664,variation,WHITE-M-CHINA-983271038,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1276,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Seb4e635e852947f0a75e1fd4de796abae-3.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,M,,0,Color,WHITE,,0,"Ships From",CHINA,,0
20665,variation,GRAY-XL-CHINA-142570841,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1811,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S26b6e27e442949069300001ef71d3ca5G-3.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,XL,,0,Color,GRAY,,0,"Ships From",CHINA,,0
20666,variation,WHITE-XL-CHINA-3848480,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1530,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Seb4e635e852947f0a75e1fd4de796abae-2.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,XL,,0,Color,WHITE,,0,"Ships From",CHINA,,0
20667,variation,GRAY-M-CHINA-582504351,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1763,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S26b6e27e442949069300001ef71d3ca5G-4.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,M,,0,Color,GRAY,,0,"Ships From",CHINA,,0
20668,variation,WHITE-S-CHINA-1261583102,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1451,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Seb4e635e852947f0a75e1fd4de796abae-3.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,S,,0,Color,WHITE,,0,"Ships From",CHINA,,0
20669,variable,tossy-striped-knit-2-piece-set-shorts-women-fashion-zebra-printed-736017022,"Tossy Striped Knit 2 Piece-Set Shorts Women Fashion Zebra Printed",1,0,visible,,"<div class=""detailmodule_html""><div class=""detail-desc-decorate-richtext""><div style=""text-align:center"" align=""center""><img src=""?width=950&amp;height=68&amp;hash=1018"" /></div><p align=""center""><span style=""font-size:20px;font-family:arial, helvetica, sans-serif"">SIZE (Unit: CM): </span><span style=""font-size:22px""><span style=""font-family:arial, helvetica, sans-serif""><span><u>S,M,L,XL</u></span></span></span></p><p align=""center""><span style=""font-size:20px;font-family:arial, helvetica, sans-serif"">S : Bust:86CM    Waist:68CM     Top Length:46CM    Pant length:36CM</span></p><div align=""center""></div><p align=""center""><span style=""font-size:20px;font-family:arial, helvetica, sans-serif""><span> M : Bust:90CM    </span></span><span style=""font-size:20px;font-family:arial, helvetica, sans-serif"">Waist:70CM     Top Length:47CM     Pant length:37CM</span></p><div align=""center""></div><p align=""center""><span style=""font-size:20px;font-family:arial, helvetica, sans-serif""><span>  L : Bust:94CM     </span></span><span style=""font-size:20px;font-family:arial, helvetica, sans-serif"">Waist:72CM     Top Length:48CM     Pant length:38CM</span><br /><br /><br /><span style=""font-size:20px;font-family:arial, helvetica, sans-serif""><span>  XL : Bust:98CM     </span></span><span style=""font-size:20px;font-family:arial, helvetica, sans-serif"">Waist:76CM     Top Length:49CM     Pant length:39CM</span></p><div align=""center""></div><p align=""center""><span style=""font-size:20px;font-family:arial, helvetica, sans-serif"">Note:( 1 CM =0.39 Inch, 1 Inch = 2.54 CM)</span><br /><img src=""?width=800&amp;height=300&amp;hash=1100"" /><br /><img src=""?width=950&amp;height=68&amp;hash=1018"" /><br /><br /><br /><img src="""" /><br /><br /><img src="""" /><img src="""" /><img src="""" /><br /><br /><br /><br /><img src=""?width=950&amp;height=68&amp;hash=1018"" /><br /><img src=""?width=1224&amp;height=1364&amp;hash=2588"" /><img src=""?width=1224&amp;height=1356&amp;hash=2580"" /><img src=""?width=1224&amp;height=1356&amp;hash=2580"" /><img src=""?width=1224&amp;height=1508&amp;hash=2732"" /><img src=""?width=1242&amp;height=1506&amp;hash=2748"" /><img src=""?width=1242&amp;height=1497&amp;hash=2739"" /><img src=""?width=1242&amp;height=1506&amp;hash=2748"" /><img src=""?width=1492&amp;height=1492&amp;hash=2984"" /><img src=""?width=1224&amp;height=1444&amp;hash=2668"" /><img src=""?width=1224&amp;height=1450&amp;hash=2674"" /><img src=""?width=1224&amp;height=1204&amp;hash=2428"" /><img src=""?width=1224&amp;height=1300&amp;hash=2524"" /><img src=""?width=1224&amp;height=1468&amp;hash=2692"" /><img src=""?width=1224&amp;height=1332&amp;hash=2556"" /><img src=""?width=1224&amp;height=1364&amp;hash=2588"" /><img src=""?width=1224&amp;height=1324&amp;hash=2548"" /><img src=""?width=1224&amp;height=1500&amp;hash=2724"" /><img src=""?width=1224&amp;height=1500&amp;hash=2724"" /><img src=""?width=1080&amp;height=1324&amp;hash=2404"" /><img src=""?width=1224&amp;height=1492&amp;hash=2716"" /><img src=""?width=1080&amp;height=1324&amp;hash=2404"" /><img src=""?width=1080&amp;height=1324&amp;hash=2404"" /><img src=""?width=1080&amp;height=1212&amp;hash=2292"" /><img src=""?width=1224&amp;height=1356&amp;hash=2580"" /><br /><img src=""?width=1080&amp;height=1188&amp;hash=2268"" /><img src=""?width=1080&amp;height=1100&amp;hash=2180"" /><img src=""?width=1080&amp;height=1116&amp;hash=2196"" /><img src=""?width=993&amp;height=993&amp;hash=1986"" /><img src=""?width=1080&amp;height=1349&amp;hash=2429"" /><img src=""?width=1080&amp;height=1349&amp;hash=2429"" /><img src=""?width=1080&amp;height=1343&amp;hash=2423"" /><img src=""?width=1080&amp;height=1349&amp;hash=2429"" /><img src=""?width=1080&amp;height=1350&amp;hash=2430"" /><img src=""?width=1080&amp;height=1350&amp;hash=2430"" /><img src=""?width=1080&amp;height=1350&amp;hash=2430"" /><br /><img src=""?width=1080&amp;height=1350&amp;hash=2430"" /><img src=""?width=1080&amp;height=1350&amp;hash=2430"" /><img src=""?width=1080&amp;height=1345&amp;hash=2425"" /><img src=""?width=1224&amp;height=1452&amp;hash=2676"" /><img src=""?width=1224&amp;height=1468&amp;hash=2692"" /><img src=""?width=1224&amp;height=1404&amp;hash=2628"" /><img src=""?width=1224&amp;height=1236&amp;hash=2460"" /><img src=""?width=1224&amp;height=1508&amp;hash=2732"" /><img src=""?width=1224&amp;height=1268&amp;hash=2492"" /><img src=""?width=1224&amp;height=1340&amp;hash=2564"" /><img src=""?width=1224&amp;height=1316&amp;hash=2540"" /><img src=""?width=1224&amp;height=1340&amp;hash=2564"" /><img src=""?width=1242&amp;height=1524&amp;hash=2766"" /><img src=""?width=1242&amp;height=1284&amp;hash=2526"" /><img src=""?width=1242&amp;height=1284&amp;hash=2526"" /><img src=""?width=1080&amp;height=1324&amp;hash=2404"" /><img src=""?width=1080&amp;height=1196&amp;hash=2276"" /><img src=""?width=1242&amp;height=1206&amp;hash=2448"" /><img src=""?width=1242&amp;height=1488&amp;hash=2730"" /><img src=""?width=1242&amp;height=1522&amp;hash=2764"" /><img src=""?width=1242&amp;height=1506&amp;hash=2748"" /><img src=""?width=1242&amp;height=1410&amp;hash=2652"" /><img src=""?width=1242&amp;height=1506&amp;hash=2748"" /><img src=""?width=1242&amp;height=1494&amp;hash=2736"" /><img src=""?width=1242&amp;height=1470&amp;hash=2712"" /><img src=""?width=1242&amp;height=1362&amp;hash=2604"" /><img src=""?width=1242&amp;height=1524&amp;hash=2766"" /></p><div><br /></div></div></div><p><br /></p>",,,taxable,,1,,,0,0,,,,,1,,,,Shop,,,"https://shopflaire.pro/wp-content/uploads/2024/09/S52c6d90653a84e5fa8b6834aa087d9aeX-3.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S9ece0fc110674bd38e221d466d364cfdE-3.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S3001b847b86e42cd979d4815b11bedddl-2.webp, https://shopflaire.pro/wp-content/uploads/2024/09/Seb1cb3ace5ab41739e00e2acab948eddV-2.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S2dd650147dd544ac903d655fd26fd376B-2.webp, https://shopflaire.pro/wp-content/uploads/2024/09/Sc70c59c4159d4e9799bc70bd2f168ee4W-2.webp",,,,,,,,,0,Size,"XL, L, M, S",1,0,Color,"Stripe Shorts, Stripe Top, Stripe Suit",1,0,,,,
20670,variable,zanzea-casual-solid-two-piece-sets-casual-solid-suit-sleeveless-v-neck-325390499,"ZANZEA Casual Solid Two Piece Sets Casual Solid Suit Sleeveless V-Neck",1,0,visible,,"<div class=""detailmodule_html""><div class=""detail-desc-decorate-richtext"">\n \n   \n  \n \n \n  <p><img alt="""" src=""""></p>\n  <p style=""text-align:center""><img alt="""" src=""""></p>\n  <p><img alt="""" src=""""></p>\n  <p align=""left""><br></p>\n  <table border=""0"" cellpadding=""0"" cellspacing=""1"" class=""ke-zeroborder cke_show_border"" style=""width:950px"">\n   <tbody>\n    <tr>\n     <td>Package included:1 Suit(Blouse+Pants)<br>Material:100% Polyester<br>Colors:Orange,Khaki,Dark Green<br>Sleeve Length:Sleeveless<br>Neckline:V-Neck<br>Pattern:Solid Color<br>Length:Ankle Length<br>Buckle chain:Button Down Front<br>Waistline:Elastic waist<br>Thickness:Thin<br>Decoration:Side Pockets<br>Style:Leisure,Bohemian,Retro,Europe<br>Season:Spring,Summer,Autumn,Winter<br>Occasion:Family,Party,Beach,Wedding,Holiday,Employment<br>Label: Yes<br>Attentions:<br>1.The Real Object May Exist Slightly Colors Differences Compared To Images As Different Computers Display.Caution If Minding,Thanks.<br>2.There Might Be A Manual Measuring 1-3 cm Error.Sorry For Any Inconvenience.<br>3.Please Prevail On Real Item, Model Images For Reference Only.<br>4.Attention!!!Please check the size chart carefully before placing the order.<p><br></p><p><br></p> <img class=""desimg"" style=""background-size:contain"" src=""""></td>\n    </tr>\n   </tbody>\n  </table>\n  <p><br></p>\n  <p style=""text-align:center""><br></p>\n  <p><img alt="""" src=""""></p>\n  <p style=""text-align:center""><br></p>\n  <div data-type=""imgs"" style=""text-align:center"">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n   <br>\n   <img class=""desimg"" style=""background-size:contain"" src="""">\n  </div>\n  <p><br></p>\n  <p><img alt="""" src=""""></p>\n  <p><img alt="""" src=""""></p>\n \n</div></div>\n",,,taxable,,1,,,0,0,,,,,1,,,,Shop,,,"https://shopflaire.pro/wp-content/uploads/2024/09/S69bc22a7819241f39f82309217bac84dG-10.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S986f2b7f77f240a6a6a2ced2f620b30fF-2.webp, https://shopflaire.pro/wp-content/uploads/2024/09/Seb5972c22ae64b758443d0a2b8471a15V-2.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S0629a494618145a2b3add4f6c429ec1cy-2.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S551f63b282ee422e8b8c4c8ca62aa12aP-2.webp, https://shopflaire.pro/wp-content/uploads/2024/09/Sc233842c30754183b4c8c2d3df77a464T-2.webp",,,,,,,,,0,Size,"XXL, 5XL, XXXL, M, S, XL, L, 4XL",1,0,Color,"Dark Green, Khaki, Orange",1,0,,,,
20671,variation,STRIPESHORTS-XL-1335551365,"Tossy Striped Knit 2 Piece-Set Shorts Women Fashion Zebra Printed - XL, Stripe Shorts",1,0,visible,,,,,taxable,parent,1,889,,0,0,,,,,0,,,16.98,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Sbf3cdb43592045ab95aadceef0e592a4b.webp,,,tossy-striped-knit-2-piece-set-shorts-women-fashion-zebra-printed-736017022,,,,,,0,Size,XL,,0,Color,"Stripe Shorts",,0,,,,
20672,variation,STRIPESHORTS-L-1155542201,"Tossy Striped Knit 2 Piece-Set Shorts Women Fashion Zebra Printed - L, Stripe Shorts",1,0,visible,,,,,taxable,parent,1,923,,0,0,,,,,0,,,16.92,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Sbf3cdb43592045ab95aadceef0e592a4b-1.webp,,,tossy-striped-knit-2-piece-set-shorts-women-fashion-zebra-printed-736017022,,,,,,0,Size,L,,0,Color,"Stripe Shorts",,0,,,,
