ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global"
20782,variation,PINK-XXXL-525146422,"Elegant Shirt Women Fashion Temperament  Blouse Long Sleeve Shirt - XXXL, Pink",1,0,visible,,,,,taxable,parent,1,1025,,0,0,,,,,0,,,12.04,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S622b6dc8e33a4b69a0cf7b23005990c4v.webp,,,elegant-shirt-women-fashion-temperament-blouse-long-sleeve-shirt-1553117823,,,,,,0,Size,XXXL,,0,Color,Pink,,0,,,,
20783,variation,BEIGE-S-1120445558,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - S, Beige",1,0,visible,,,,,taxable,parent,1,995,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Se1b2411c256642329c9cd49ac29c043ap-1.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,S,,0,Color,Beige,,0,,,,
20784,variation,PINK-4XL-90024298,"Elegant Shirt Women Fashion Temperament  Blouse Long Sleeve Shirt - 4XL, Pink",1,0,visible,,,,,taxable,parent,1,1028,,0,0,,,,,0,,,12.05,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S622b6dc8e33a4b69a0cf7b23005990c4v.webp,,,elegant-shirt-women-fashion-temperament-blouse-long-sleeve-shirt-1553117823,,,,,,0,Size,4XL,,0,Color,Pink,,0,,,,
20785,variation,APRICOT-S(40-45KGS)-921431409,"Vintage French Women Shirts Lace Lolita Elegant Long Sleeve Flounce - S(40-45KGS), Apricot",1,0,visible,,,,,taxable,parent,1,988,,0,0,,,,,0,,,20.87,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Saadf1e38f2d540c59e1a120bf4113cb1v-1.webp,,,vintage-french-women-shirts-lace-lolita-elegant-long-sleeve-flounce-424148981,,,,,,0,Size,S(40-45KGS),,0,Color,Apricot,,0,,,,
20786,variation,PINK-XL-434451633,"Elegant Shirt Women Fashion Temperament  Blouse Long Sleeve Shirt - XL, Pink",1,0,visible,,,,,taxable,parent,1,1016,,0,0,,,,,0,,,11.83,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S622b6dc8e33a4b69a0cf7b23005990c4v-2.webp,,,elegant-shirt-women-fashion-temperament-blouse-long-sleeve-shirt-1553117823,,,,,,0,Size,XL,,0,Color,Pink,,0,,,,
20787,variation,PINK-5XL-1428937053,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - 5XL, Pink",1,0,visible,,,,,taxable,parent,1,997,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Se7ccdcf6f88147d886a68410dbe74258L-3.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,5XL,,0,Color,Pink,,0,,,,
20788,variation,APRICOT-M(45-50KGS)-1566350804,"Vintage French Women Shirts Lace Lolita Elegant Long Sleeve Flounce - M(45-50KGS), Apricot",1,0,visible,,,,,taxable,parent,1,982,,0,0,,,,,0,,,20.87,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Saadf1e38f2d540c59e1a120bf4113cb1v-4.webp,,,vintage-french-women-shirts-lace-lolita-elegant-long-sleeve-flounce-424148981,,,,,,0,Size,M(45-50KGS),,0,Color,Apricot,,0,,,,
20789,variation,BEIGE-L-1199618148,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - L, Beige",1,0,visible,,,,,taxable,parent,1,992,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Se1b2411c256642329c9cd49ac29c043ap.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,L,,0,Color,Beige,,0,,,,
20790,variation,PINK-XXL-282085872,"Elegant Shirt Women Fashion Temperament  Blouse Long Sleeve Shirt - XXL, Pink",1,0,visible,,,,,taxable,parent,1,1024,,0,0,,,,,0,,,11.94,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S622b6dc8e33a4b69a0cf7b23005990c4v-5.webp,,,elegant-shirt-women-fashion-temperament-blouse-long-sleeve-shirt-1553117823,,,,,,0,Size,XXL,,0,Color,Pink,,0,,,,
20791,variation,APRICOT-L(50-57.5KGS)-1656016753,"Vintage French Women Shirts Lace Lolita Elegant Long Sleeve Flounce - L(50-57.5KGS), Apricot",1,0,visible,,,,,taxable,parent,1,989,,0,0,,,,,0,,,20.87,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Saadf1e38f2d540c59e1a120bf4113cb1v-2.webp,,,vintage-french-women-shirts-lace-lolita-elegant-long-sleeve-flounce-424148981,,,,,,0,Size,L(50-57.5KGS),,0,Color,Apricot,,0,,,,
20792,variation,PINK-5XL-711546622,"Elegant Shirt Women Fashion Temperament  Blouse Long Sleeve Shirt - 5XL, Pink",1,0,visible,,,,,taxable,parent,1,1028,,0,0,,,,,0,,,12.01,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S622b6dc8e33a4b69a0cf7b23005990c4v-4.webp,,,elegant-shirt-women-fashion-temperament-blouse-long-sleeve-shirt-1553117823,,,,,,0,Size,5XL,,0,Color,Pink,,0,,,,
20794,variation,APRICOT-XL(57.5-62.5KGS)-1725702257,"Vintage French Women Shirts Lace Lolita Elegant Long Sleeve Flounce - XL(57.5-62.5KGS), Apricot",1,0,visible,,,,,taxable,parent,1,969,,0,0,,,,,0,,,20.87,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Saadf1e38f2d540c59e1a120bf4113cb1v-3.webp,,,vintage-french-women-shirts-lace-lolita-elegant-long-sleeve-flounce-424148981,,,,,,0,Size,XL(57.5-62.5KGS),,0,Color,Apricot,,0,,,,
20795,variation,BEIGE-M-545394459,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - M, Beige",1,0,visible,,,,,taxable,parent,1,991,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Se1b2411c256642329c9cd49ac29c043ap-3.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,M,,0,Color,Beige,,0,,,,
20796,variation,PINK-M-183862358,"Elegant Shirt Women Fashion Temperament  Blouse Long Sleeve Shirt - M, Pink",1,0,visible,,,,,taxable,parent,1,1019,,0,0,,,,,0,,,11.68,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S622b6dc8e33a4b69a0cf7b23005990c4v-3.webp,,,elegant-shirt-women-fashion-temperament-blouse-long-sleeve-shirt-1553117823,,,,,,0,Size,M,,0,Color,Pink,,0,,,,
20797,variation,BEIGE-XXXL-40991312,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XXXL, Beige",1,0,visible,,,,,taxable,parent,1,998,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Se1b2411c256642329c9cd49ac29c043ap-2.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XXXL,,0,Color,Beige,,0,,,,
20799,variation,PINK-L-1366253891,"Elegant Shirt Women Fashion Temperament  Blouse Long Sleeve Shirt - L, Pink",1,0,visible,,,,,taxable,parent,1,1020,,0,0,,,,,0,,,11.75,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S622b6dc8e33a4b69a0cf7b23005990c4v-6.webp,,,elegant-shirt-women-fashion-temperament-blouse-long-sleeve-shirt-1553117823,,,,,,0,Size,L,,0,Color,Pink,,0,,,,
20800,variation,PINK-S-995496147,"Elegant Shirt Women Fashion Temperament  Blouse Long Sleeve Shirt - S, Pink",1,0,visible,,,,,taxable,parent,1,1023,,0,0,,,,,0,,,11.59,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S622b6dc8e33a4b69a0cf7b23005990c4v-6.webp,,,elegant-shirt-women-fashion-temperament-blouse-long-sleeve-shirt-1553117823,,,,,,0,Size,S,,0,Color,Pink,,0,,,,
20801,variation,BLUE-S-581638245,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - S, Blue",1,0,visible,,,,,taxable,parent,1,998,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S1ed439140bc5429897b2d800c705a80a2.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,S,,0,Color,Blue,,0,,,,
20802,variation,BEIGE-5XL-797742341,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - 5XL, Beige",1,0,visible,,,,,taxable,parent,1,997,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Se1b2411c256642329c9cd49ac29c043ap-4.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,5XL,,0,Color,Beige,,0,,,,
20805,variation,BLUE-L-1207182612,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - L, Blue",1,0,visible,,,,,taxable,parent,1,990,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S1ed439140bc5429897b2d800c705a80a2-4.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,L,,0,Color,Blue,,0,,,,
20809,variation,BLUE-M-1476756524,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - M, Blue",1,0,visible,,,,,taxable,parent,1,996,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S1ed439140bc5429897b2d800c705a80a2-1.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,M,,0,Color,Blue,,0,,,,
20810,variation,BLUE-XXL-253510360,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XXL, Blue",1,0,visible,,,,,taxable,parent,1,994,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S1ed439140bc5429897b2d800c705a80a2-1.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XXL,,0,Color,Blue,,0,,,,
20812,variation,BLUE-XL-868913107,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XL, Blue",1,0,visible,,,,,taxable,parent,1,997,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S1ed439140bc5429897b2d800c705a80a2-2.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XL,,0,Color,Blue,,0,,,,
20814,variation,BLUE-4XL-566324314,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - 4XL, Blue",1,0,visible,,,,,taxable,parent,1,997,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S1ed439140bc5429897b2d800c705a80a2-3.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,4XL,,0,Color,Blue,,0,,,,
20816,variation,BLUE-XXXL-882954883,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XXXL, Blue",1,0,visible,,,,,taxable,parent,1,997,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S1ed439140bc5429897b2d800c705a80a2-3.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XXXL,,0,Color,Blue,,0,,,,
20817,variation,BLACK-S-984417718,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - S, black",1,0,visible,,,,,taxable,parent,1,999,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,S,,0,Color,black,,0,,,,
20818,variation,BLUE-5XL-682796480,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - 5XL, Blue",1,0,visible,,,,,taxable,parent,1,998,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,5XL,,0,Color,Blue,,0,,,,
20819,variation,BLACK-L-915401628,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - L, black",1,0,visible,,,,,taxable,parent,1,995,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,L,,0,Color,black,,0,,,,
20820,variation,BLACK-M-415388193,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - M, black",1,0,visible,,,,,taxable,parent,1,998,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S6734bec6050f43a69c1c69f64b1ceb65a-1.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,M,,0,Color,black,,0,,,,
20821,variation,BLACK-XXL-1638038059,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XXL, black",1,0,visible,,,,,taxable,parent,1,997,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XXL,,0,Color,black,,0,,,,
20824,variation,BLACK-XL-1066407781,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XL, black",1,0,visible,,,,,taxable,parent,1,996,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XL,,0,Color,black,,0,,,,
20825,variation,BLACK-4XL-860491690,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - 4XL, black",1,0,visible,,,,,taxable,parent,1,1000,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,4XL,,0,Color,black,,0,,,,
20826,variation,BLACK-XXXL-915464754,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XXXL, black",1,0,visible,,,,,taxable,parent,1,1000,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XXXL,,0,Color,black,,0,,,,
20827,variation,WHITE-S-754443639,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - S, WHITE",1,0,visible,,,,,taxable,parent,1,993,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S5cafdcb7187d45bf90667ded69163e47x-2.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,S,,0,Color,WHITE,,0,,,,
20829,variation,BLACK-5XL-1161528702,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - 5XL, black",1,0,visible,,,,,taxable,parent,1,997,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,5XL,,0,Color,black,,0,,,,
20834,variation,WHITE-L-424232213,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - L, WHITE",1,0,visible,,,,,taxable,parent,1,961,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,L,,0,Color,WHITE,,0,,,,
20836,variation,WHITE-M-617600863,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - M, WHITE",1,0,visible,,,,,taxable,parent,1,975,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,M,,0,Color,WHITE,,0,,,,
20837,variation,WHITE-XXL-514661936,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XXL, WHITE",1,0,visible,,,,,taxable,parent,1,970,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XXL,,0,Color,WHITE,,0,,,,
20838,variation,WHITE-XL-1302341257,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XL, WHITE",1,0,visible,,,,,taxable,parent,1,954,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XL,,0,Color,WHITE,,0,,,,
20841,variation,WHITE-4XL-140044691,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - 4XL, WHITE",1,0,visible,,,,,taxable,parent,1,991,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,4XL,,0,Color,WHITE,,0,,,,
20843,variation,SKYBLUE-S-635057265,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - S, Sky blue",1,0,visible,,,,,taxable,parent,1,997,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,S,,0,Color,"Sky blue",,0,,,,
20844,variation,WHITE-5XL-1006287310,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - 5XL, WHITE",1,0,visible,,,,,taxable,parent,1,976,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,5XL,,0,Color,WHITE,,0,,,,
20845,variation,SKYBLUE-L-363869377,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - L, Sky blue",1,0,visible,,,,,taxable,parent,1,995,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,L,,0,Color,"Sky blue",,0,,,,
20846,variation,SKYBLUE-XXL-1652259102,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XXL, Sky blue",1,0,visible,,,,,taxable,parent,1,997,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XXL,,0,Color,"Sky blue",,0,,,,
20849,variation,PINK-XXXL-767003829,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XXXL, Pink",1,0,visible,,,,,taxable,parent,1,992,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XXXL,,0,Color,Pink,,0,,,,
20851,variation,BEIGE-XXL-536680561,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XXL, Beige",1,0,visible,,,,,taxable,parent,1,998,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XXL,,0,Color,Beige,,0,,,,
20852,variation,BEIGE-XL-1480831474,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XL, Beige",1,0,visible,,,,,taxable,parent,1,991,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XL,,0,Color,Beige,,0,,,,
20854,variation,BEIGE-4XL-1128948434,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - 4XL, Beige",1,0,visible,,,,,taxable,parent,1,998,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,4XL,,0,Color,Beige,,0,,,,
20858,variation,WHITE-XXXL-823517916,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XXXL, WHITE",1,0,visible,,,,,taxable,parent,1,976,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XXXL,,0,Color,WHITE,,0,,,,
20860,variation,SKYBLUE-M-581917672,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - M, Sky blue",1,0,visible,,,,,taxable,parent,1,993,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,M,,0,Color,"Sky blue",,0,,,,
20862,variation,SKYBLUE-XL-736916197,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XL, Sky blue",1,0,visible,,,,,taxable,parent,1,990,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S70d1399b25b343ab91b24c3fc6146ac3d-1.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XL,,0,Color,"Sky blue",,0,,,,
20866,variation,SKYBLUE-4XL-457055336,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - 4XL, Sky blue",1,0,visible,,,,,taxable,parent,1,998,,0,0,,,,,0,,,15.03,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S70d1399b25b343ab91b24c3fc6146ac3d-1.webp,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,4XL,,0,Color,"Sky blue",,0,,,,
20868,variation,SKYBLUE-XXXL-640692605,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - XXXL, Sky blue",1,0,visible,,,,,taxable,parent,1,997,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,XXXL,,0,Color,"Sky blue",,0,,,,
20869,variation,SKYBLUE-5XL-725902359,"Temperament Casual Lace Woman Shirt Fashion Loose Shirt Woman Elegant - 5XL, Sky blue",1,0,visible,,,,,taxable,parent,1,998,,0,0,,,,,0,,,15.03,,,,,,,temperament-casual-lace-woman-shirt-fashion-loose-shirt-woman-elegant-269691548,,,,,,0,Size,5XL,,0,Color,"Sky blue",,0,,,,
20880,variable,women-chiffon-button-turtleneck-shirt-chic-elegant-floral-lace-fluffy-1091084484,"Women Chiffon Button Turtleneck Shirt Chic Elegant Floral Lace Fluffy",1,0,visible,,"<div class=""detailmodule_html""><div class=""detail-desc-decorate-richtext""><div id=""offer-template-0"" style=""text-align:center"" align=""center""></div><div style=""text-align:center"" align=""center""><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /></div><div style=""text-align:center"" align=""center""><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /><img style=""max-width:100%"" src="""" /></div><p><br /></p></div></div><br />",,,taxable,,1,,,0,0,,,,,1,,,,Shop,,,"https://shopflaire.pro/wp-content/uploads/2024/09/Scace73b119f7457bba21e1c40ef39426S-1.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S8edef36d18ee4b3a9a0ce62f12ea906bv-1.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S4b63be8390a14155a90a3c2a93b2e1eaT-1.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S42e66cab39ec4700b2d9e67753f660522.webp, https://shopflaire.pro/wp-content/uploads/2024/09/Sf45674c5de9c4440b88ba91fcb78c964t.webp, https://shopflaire.pro/wp-content/uploads/2024/09/Sec8652923a0c4ffe9038bcb0edf84f4e6.webp",,,,,,,,,0,Size,"S, M, L, XL, 2XL",1,0,Color,"Black, WHITE, apricot",1,0,,,,
20883,variable,elegant-long-jumpsuit-women-sexy-backless-wide-leg-jumpsuits-casual-94792411,"Elegant Long Jumpsuit Women Sexy Backless Wide Leg Jumpsuits Casual",1,0,visible,,"<div class=""detailmodule_html""><div class=""detail-desc-decorate-richtext""><div class=""detailmodule_image""> \n <img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""""> \n <img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""""> \n <img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""""> \n <img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""""> \n <img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""""> \n <img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""""> \n <img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""""> \n <img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""""> \n</div><p><br></p></div></div>\n",,,taxable,,1,,,0,0,,,,,1,,,,Shop,,,"https://shopflaire.pro/wp-content/uploads/2024/09/See723bfb40694ce894de82d1f4af5a65F-2.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S84471ca9ec474ed1a8c93d5df2732726N-2.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S46066573ef7a4d28ad3b50a995b83614f-2.webp, https://shopflaire.pro/wp-content/uploads/2024/09/Sc67528edba7f4e8093ef28832510f4f71-2.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S8c0169b39ba2442d9c0c3031f1537717E-2.webp, https://shopflaire.pro/wp-content/uploads/2024/09/Sfe290946b0c24fc5ad5fb18e3fc69b3cK-2.webp",,,,,,,,,0,Size,"S, XL, L, M",1,0,Color,"Mixed Color",1,0,,,,
20888,variation,BLACK-S-570528753,"Women Chiffon Button Turtleneck Shirt Chic Elegant Floral Lace Fluffy - S, Black",1,0,visible,,,,,taxable,parent,1,35,,0,0,,,,,0,,,18.57,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S45dc201c051a486d8aed8d8942366212Q.webp,,,women-chiffon-button-turtleneck-shirt-chic-elegant-floral-lace-fluffy-1091084484,,,,,,0,Size,S,,0,Color,Black,,0,,,,
20893,variation,BLACK-M-407279696,"Women Chiffon Button Turtleneck Shirt Chic Elegant Floral Lace Fluffy - M, Black",1,0,visible,,,,,taxable,parent,1,35,,0,0,,,,,0,,,18.92,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S45dc201c051a486d8aed8d8942366212Q-1.webp,,,women-chiffon-button-turtleneck-shirt-chic-elegant-floral-lace-fluffy-1091084484,,,,,,0,Size,M,,0,Color,Black,,0,,,,
